MagX, MagY, MagZ, GyroX, GyroY, GyroZ, AccelX, AccelY, AccelZ, Lum, Time
23.588928,-45.203156,-194.748199,-0.132046,-0.257454,0.255520,-0.143295,-0.098068,-1.138565,0.286528,1455415927.762979
22.201355,-45.553574,-194.409515,0.016473,0.104021,-0.126871,-0.070328,-0.091507,-1.360199,0.284579,1455415927.822738
21.334106,-46.079193,-194.917557,-0.404851,0.216220,0.095671,-0.138153,0.293198,-1.482285,0.283489,1455415927.892843
22.201355,-50.108932,-195.086899,1.014353,0.040104,-0.734162,-0.193314,-0.024979,-0.867661,0.282041,1455415927.962809
23.242035,-49.758514,-192.716049,-0.149739,0.371864,-0.427194,-0.122452,0.103333,-0.882874,0.282692,1455415928.022709
24.976517,-51.160156,-192.716049,-0.055295,0.023943,-0.589936,-0.054398,0.024261,-0.616791,0.284052,1455415928.092798
25.496857,-54.489075,-189.837158,-0.020224,-0.005956,-0.604614,0.009125,-0.096222,-0.583847,0.285698,1455415928.162821
24.629623,-55.715515,-190.683899,-0.386893,0.076443,-0.206073,0.021133,-0.105682,-0.854523,0.286142,1455415928.222799
25.670303,-56.065933,-190.345200,-0.281766,0.008580,0.012828,-0.002396,-0.016159,-1.203445,0.285305,1455415928.292791
25.149963,-54.839493,-186.450241,-0.421492,-0.219913,-0.173125,-0.026077,0.077774,-1.399872,0.284135,1455415928.362823
25.323410,-54.664276,-185.264816,-0.584014,-0.348072,0.230719,0.216827,0.389618,-1.549728,0.282638,1455415928.422811
25.496857,-55.189896,-185.095474,1.554260,0.726239,-0.003633,0.179672,0.022507,-0.807343,0.281947,1455415928.492799
25.670303,-57.467575,-183.571350,-0.843818,-0.452893,1.071971,0.105469,0.087723,-0.701797,0.284755,1455415928.562794
26.364105,-56.766754,-182.893967,-0.257731,0.029456,0.796326,-0.074173,0.074890,-0.739624,0.286725,1455415928.622793
23.415482,-55.890717,-181.031158,-0.399957,0.129557,0.461223,-0.061691,-0.077988,-0.796707,0.285533,1455415928.692799
23.762375,-54.839493,-179.676392,-0.349990,-0.029062,0.377847,0.005188,-0.082245,-0.987015,0.284561,1455415928.752774
24.282730,-55.715515,-177.813583,0.250036,-0.103482,0.040510,-0.090195,-0.086456,-1.083588,0.283765,1455415928.822767
22.548248,-56.065933,-175.104034,0.073803,-0.265366,-0.190145,-0.031158,-0.008026,-1.357117,0.284041,1455415928.892798
22.027893,-55.540314,-172.902542,-0.365290,-0.027583,-0.057492,-0.068802,0.199753,-1.387299,0.284519,1455415928.962797
22.548248,-56.766754,-172.733185,0.454797,0.356777,-0.763062,-0.101196,0.052002,-1.000870,0.284298,1455415929.022793
23.068588,-56.241135,-171.547760,0.104841,0.226960,-0.562440,-0.062241,0.113358,-0.912613,0.285267,1455415929.092792
24.976517,-56.766754,-168.330185,0.188930,0.122079,-0.508918,-0.049362,0.014893,-0.687744,0.286529,1455415929.162802
25.323410,-55.365112,-168.330185,0.180985,0.033171,-0.497835,0.049759,-0.091187,-0.686432,0.288215,1455415929.222794
25.323410,-56.766754,-167.314117,0.004960,-0.074969,-0.119560,0.056458,-0.036438,-0.948059,0.289870,1455415929.292793
